bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,is_promoted,is_proven,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Tabletop Games","/explore/tabletop-games","/projects/ariadne-and-bob","2022-02-10T23:59:59-08:00","CAD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lfirbbxs1fjg4qpqjjf5.jpg","false","false","false","false","null","2022-01-25T00:00:00-08:00","null","null","null","null","null","2729167","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","A GMful RPG for 2-4 players about a know-it-all and her trusty sidekick.","[""indie""]","Ariadne and Bob"
"null","Tabletop Games","/explore/tabletop-games","/projects/questbox-jangle-cruise-adventure-in-the-box","2023-12-02T23:59:59-08:00","USD","280","0.14","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rxcsp9bzkrmurvwfftmu.jpg","false","false","false","false","null","2023-11-02T00:00:00-07:00","null","null","null","null","null","2840338","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Introducing of the Quest Box, interactive handmade puzzle box.","[""toys"",""3d"",""camping"",""adventure""]","QUESTBOX-Jangle Cruise. Adventure in the box."
"null","Tabletop Games","/explore/tabletop-games","/projects/escape-from-orodor-the-role-playing-game","2019-06-30T23:59:59-07:00","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mgdvlalrluh7ygaauzme.jpg","false","false","false","false","null","2019-05-01T00:00:00-07:00","null","null","null","null","null","2489540","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","The role-playing game based on TNG system","[""adventure"",""fantasy"",""community""]","Escape from Orodor: the Role-playing Game"
"null","Tabletop Games","/explore/tabletop-games","/projects/hide-and-go-science","2020-10-10T23:59:59-07:00","AUD","1768","0.178947368421","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tbe4dftn03klbpmlumnj.jpg","false","false","false","false","null","2020-09-10T00:00:00-07:00","null","null","null","null","null","2611448","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","The perfect strategic card game for you and your frenemies!","[""comedy"",""family"",""robots"",""toys""]","Hide and Go Science"
"null","Tabletop Games","/explore/tabletop-games","/projects/glow-light-book--2","2019-10-04T23:59:59-07:00","USD","705","0.201428571429","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dlnudnvafggkwpyt95mg.jpg","false","false","false","false","null","2019-08-05T00:00:00-07:00","null","null","null","null","null","2533597","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","The new dimension of light!  Real excitement and true experience together!","[""album"",""adventure"",""design"",""family"",""toys""]","Glow Light Book"
"null","Tabletop Games","/explore/tabletop-games","/projects/rough-and-tumble-good-and-bad","2018-04-06T23:59:59-07:00","EUR","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sej0dn31j9yhis1yq1su.jpg","false","false","false","false","null","2018-03-27T09:57:06-07:00","null","null","null","null","null","2356227","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","The third episode of one of the world's most successful 3D printer games!","[""3d printers"",""3d""]","Rough and Tumble : Good and bad"
"null","Tabletop Games","/explore/tabletop-games","/projects/catharsis-tarot","2019-09-30T23:59:59-07:00","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/o2srdtz5y6t4ekwal3df.jpg","false","false","false","false","null","2019-08-01T00:00:00-07:00","null","null","null","null","null","2530910","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","99 Cards with Major and Elder Arcana with Minors","[""tarot""]","Catharsis Tarot"
"null","Tabletop Games","/explore/tabletop-games","/projects/neokami-god-challengers--2","2019-04-26T23:59:59-07:00","USD","135","0.0135","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dinqec9tvdxoa4bejf5e.jpg","false","false","false","false","null","2019-02-25T00:00:00-08:00","null","null","null","null","null","2450444","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","You are a god contender using the variety of races to build an army fighting to become the next god.","[""adventure"",""fantasy""]","Neokami : God Challengers"
"null","Tabletop Games","/explore/tabletop-games","/projects/the-soul-of-france-speaks-to-you","2019-08-04T23:59:59-07:00","USD","1113","0.0742","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/z947lgwzejir8qze5icc.jpg","false","false","false","false","null","2019-07-04T00:00:00-07:00","null","null","null","null","null","2518618","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","40 major figures of the French culture would like to share with you their history, poetry and wisdom","[""tarot""]","The Soul of France speaks to you"
"null","Tabletop Games","/explore/tabletop-games","/projects/crypto-the-cryptocurrency-board-game","2018-08-01T23:59:59-07:00","USD","2055","0.10275","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/eqhlfigg3uxfltwmvoxo.jpg","false","false","false","false","null","2018-06-27T11:56:04-07:00","null","null","null","null","null","2392249","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","A fantastic board game that incorporates cryptocurrencies with auction-based game play mechanics.","[""crypto""]","Crypto: The Cryptocurrency Board Game"
